municipio,populacao,PIB
Pavão,8168.0,93077.579
Peçanha,17843.0,270147.941
Pedra Azul,24999.0,401447.683
Pedra Bonita,7559.0,96477.229
Pedra do Anta,3371.0,57727.371
Pedra do Indaiá,4232.0,116153.961
Pedra Dourada,2883.0,42293.097
Pedralva,10924.0,182677.511
Pedras de Maria da Cruz,10619.0,109590.225
Pedrinópolis,3404.0,204115.255
Pedro Leopoldo,64910.0,1939056.014
Pedro Teixeira,1854.0,30267.885
Pequeri,3448.0,62540.379
Pequi,4258.0,85506.463
Perdigão,12925.0,227189.699
Perdizes,17830.0,1629092.268
Perdões,21991.0,627040.664
Periquito,6647.0,111678.275
Pescador,3587.0,47101.487
Piau,2854.0,92671.585
Piedade de Caratinga,8883.0,140777.928
Piedade de Ponte Nova,4056.0,62734.703
Piedade do Rio Grande,4697.0,110400.851
Piedade dos Gerais,5175.0,89820.775
Pimenta,8794.0,281721.612
Pingo-d'Água,4845.0,52719.504
Pintópolis,7231.0,71218.643
Piracema,6884.0,303199.596
Pirajuba,5762.0,403824.261
Piranga,17360.0,200177.851
Piranguçu,6271.0,78368.446
Piranguinho,9451.0,136078.752
Pirapetinga,11408.0,639089.833
Pirapora,57543.0,2875259.252
Piraúba,11958.0,200665.452
Pitangui,27734.0,741337.878
Piumhi,37742.0,1280834.783
Planura,11484.0,574327.992
Poço Fundo,16791.0,403867.297
Poços de Caldas,171533.0,8531691.913
Pocrane,8468.0,121719.058
Pompéu,32305.0,1170186.594
Ponte Nova,59569.0,2144993.646
Ponto Chique,3807.0,52075.955
Ponto dos Volantes,11077.0,122555.634
Porteirinha,38668.0,526939.238
Porto Firme,10825.0,130246.517
Poté,13751.0,168795.476
Pouso Alegre,160751.0,10720093.38
Pouso Alto,6755.0,277468.499
Prados,9327.0,229201.254
Prata,29578.0,1293340.615
Pratápolis,8551.0,228648.964
Pratinha,3673.0,154731.227
Presidente Bernardes,4883.0,67715.912
Presidente Juscelino,3493.0,49095.437
Presidente Kubitschek,3154.0,36193.689
Presidente Olegário,19177.0,731489.197
Alto Jequitibá,8596.0,125603.822
Prudente de Morais,11940.0,203135.938
Quartel Geral,3237.0,77630.518
Queluzito,1800.0,40046.211
Raposos,16735.0,193699.086
Raul Soares,23882.0,423414.673
Recreio,11337.0,123321.676
Reduto,8170.0,121224.903
Resende Costa,11520.0,207535.277
Resplendor,17612.0,277856.756
Ressaquinha,4641.0,373034.705
Riachinho,6890.0,157262.76
Riacho dos Machados,8886.0,532748.477
Ribeirão das Neves,344828.0,5181710.862
Ribeirão Vermelho,4201.0,105347.6
Rio Acima,10626.0,472470.728
Rio Casca,12921.0,237366.683
Rio Doce,2542.0,51873.395
Rio do Prado,4679.0,52672.968
Rio Espera,5479.0,59609.855
Rio Manso,5727.0,113745.297
Rio Novo,8689.0,120107.883
Rio Paranaíba,15143.0,906353.196
Rio Pardo de Minas,29123.0,345466.691
Rio Piracicaba,15001.0,1339301.242
Rio Pomba,17856.0,417438.677
Rio Preto,5240.0,69182.118
Rio Vermelho,12815.0,140767.632
Ritápolis,5115.0,90357.107
Rochedo de Minas,2363.0,114735.689
Rodeiro,9064.0,550096.162
Romaria,3440.0,271546.751
Rosário da Limeira,4896.0,67738.8
Rubelita,5572.0,80084.942
Rubim,10575.0,111719.773
Sabará,134286.0,4201729.865
Sabinópolis,14382.0,334745.005
Sacramento,27891.0,2090986.853
Salinas,41641.0,667409.43
Salto da Divisa,6164.0,132071.636
Santa Bárbara,31756.0,1628492.771
Santa Bárbara do Leste,8737.0,111650.151
Santa Bárbara do Monte Verde,3199.0,56243.7
Santa Bárbara do Tugúrio,4262.0,70593.977
Santa Cruz de Minas,8321.0,103518.723
Santa Cruz de Salinas,3944.0,49008.925
Santa Cruz do Escalvado,4743.0,76964.899
Santa Efigênia de Minas,4067.0,51018.733
Santa Fé de Minas,3551.0,59942.126
Santa Helena de Minas,6059.0,57951.205
Santa Juliana,16568.0,860482.211
Santa Luzia,229483.0,5290589.491
Santa Margarida,16903.0,354062.561
Santa Maria de Itabira,10716.0,269042.79
Santa Maria do Salto,4803.0,49995.492
Santa Maria do Suaçuí,12898.0,170840.241
Santana da Vargem,6781.0,242909.598
Santana de Cataguases,3553.0,49932.917
Santana de Pirapama,7079.0,116684.764
Santana do Deserto,3819.0,47378.297
Santana do Garambéu,2175.0,39157.394
Santana do Jacaré,4265.0,105993.426
Santana do Manhuaçu,9236.0,189846.288
Santana do Paraíso,48286.0,750462.52
Santana do Riacho,5579.0,103786.314
Santana dos Montes,3507.0,49865.641
Santa Rita de Caldas,8588.0,227954.673
Santa Rita de Jacutinga,4836.0,74816.659
Santa Rita de Minas,6952.0,151813.178
Santa Rita de Ibitipoca,3344.0,61761.129
Santa Rita do Itueto,5973.0,179081.291
Santa Rita do Sapucaí,42320.0,1944614.305
Santa Rosa da Serra,3476.0,102034.375
Santa Vitória,21745.0,802690.233
Santo Antônio do Amparo,17651.0,354432.184
Santo Antônio do Aventureiro,3881.0,67919.691
Santo Antônio do Grama,4342.0,85672.291
Santo Antônio do Itambé,3979.0,44706.755
Santo Antônio do Jacinto,10397.0,114553.715
Santo Antônio do Monte,28358.0,843029.412
Santo Antônio do Retiro,6743.0,70749.723
Santo Antônio do Rio Abaixo,1853.0,28497.48
Santo Hipólito,2720.0,50199.813
Santos Dumont,43392.0,1102976.852
São Bento Abade,4835.0,89310.397
São Brás do Suaçuí,4133.0,80505.232
São Domingos das Dores,5778.0,91416.982
São Domingos do Prata,17771.0,313490.957
São Félix de Minas,3252.0,43894.904
São Francisco,54239.0,648147.607
São Francisco de Paula,6293.0,150480.851
São Francisco de Sales,5857.0,194087.233
São Francisco do Glória,4866.0,72566.841
São Geraldo,10517.0,264434.116
São Geraldo da Piedade,3258.0,44820.99
São Geraldo do Baixio,3175.0,49943.742
São Gonçalo do Abaeté,7521.0,325580.363
São Gonçalo do Pará,12192.0,311247.593
São Gonçalo do Rio Abaixo,12353.0,7603851.049
São Gonçalo do Sapucaí,24480.0,987544.964
São Gotardo,43309.0,1189360.386
São João Batista do Glória,7912.0,268158.43
São João da Lagoa,4950.0,60418.036
São João da Mata,3000.0,55082.405
São João da Ponte,24269.0,268895.024
São João das Missões,13467.0,92400.054
São João del Rei,94062.0,3005052.222
São João do Manhuaçu,11614.0,183099.286
São João do Manteninha,5468.0,81243.442
São João do Oriente,7139.0,101876.527
São João do Pacuí,4052.0,44645.746
São João do Paraíso,24604.0,285079.902
São João Evangelista,15617.0,253107.892
São João Nepomuceno,26478.0,506309.143
São Joaquim de Bicas,36496.0,1083353.544
São José da Barra,8084.0,891476.488
São José da Lapa,27710.0,625195.139
São José da Safira,3861.0,49559.719
São José da Varginha,4677.0,114407.082
São José do Alegre,4242.0,57939.962
São José do Divino,3501.0,53045.8
São José do Goiabal,5492.0,67387.909
São José do Jacuri,6298.0,99910.93
São José do Mantimento,2834.0,44174.779
São Lourenço,46653.0,1177922.243
São Miguel do Anta,6430.0,105088.829
São Pedro da União,4979.0,148165.857
São Pedro dos Ferros,7194.0,134410.328
São Pedro do Suaçuí,5166.0,81787.202
São Romão,10553.0,243120.784
São Roque de Minas,7341.0,323185.261
São Sebastião da Bela Vista,6694.0,443000.18
São Sebastião da Vargem Alegre,3219.0,66815.528
São Sebastião do Anta,6386.0,104241.098
São Sebastião do Maranhão,10244.0,100816.34
São Sebastião do Oeste,9355.0,597003.412
São Sebastião do Paraíso,74742.0,2236521.488
São Sebastião do Rio Preto,1248.0,25970.279
São Sebastião do Rio Verde,2373.0,35692.439
São Tiago,11517.0,246093.822
São Tomás de Aquino,6853.0,195273.023
São Tomé das Letras,7089.0,137362.237
São Vicente de Minas,6935.0,206109.749
Sapucaí-Mirim,6462.0,110272.437
Sardoá,5164.0,68801.504
Sarzedo,39327.0,2190992.383
Setubinha,10032.0,122685.964
Sem-Peixe,2441.0,36664.705
Senador Amaral,6458.0,89447.552
Senador Cortes,2319.0,38034.888
